State;vtype;id;semi;assign;literal;character;boolstr;addsub;multdiv;lparen;rparen;num;lbrace;rbrace;comma;if;while;comp;else;return;$
0;s2;;;;;;;;;;;;;;;;;;;;r1
1;s2;;;;;;;;;;;;;;;;;;;;
2;;s7;;;;;;;;;;;;;;;;;;;acc
3;;;;;;;;;;;;;;;;;;;;;r4
4;r4;;;;;;;;;;;;;;;;;;;;r2
5;r2;;;;;;;;;;;;;;;;;;;;r3
6;r3;;;;;;;;;;;;;;;;;;;;
7;;;s10;s12;;;;;;s9;;;;;;;;;;;r5
8;r5;r5;;r5;;;;;;;;;;r5;;r5;r5;;;r5;
9;s14;;;;;;;;;;r24;;;;;;;;;;r6
10;r6;r6;;r6;;;;;;;;;;r6;;r6;r6;;;r6;
11;;;s15;;;;;;;;;;;;;;;;;;
12;;s25;;;s18;s19;s20;;;s23;;s24;;;;;;;;;
13;;;;;;;;;;;s26;;;;;;;;;;
14;;s27;;;;;;;;;;;;;;;;;;;r7
15;r7;r7;;r7;;;;;;;;;;r7;;r7;r7;;;r7;
16;;;r8;;;;;;;;;;;;;;;;;;
17;;;r9;;;;;;;;;;;;;;;;;;
18;;;r10;;;;;;;;;;;;;;;;;;
19;;;r11;;;;;;;;;;;;;;;;;;
20;;;r12;;;;;;;;;;;;;;;;;;
21;;;r15;;;;;s29;;;r15;;;;;;;;;;
22;;;r18;;;;;r18;s31;;r18;;;;;;;;;;
23;;s25;;;;;;;;s23;;s24;;;;;;;;;
24;;;r20;;;;;r20;r20;;r20;;;;;;;;;;
25;;;r21;;;;;r21;r21;;r21;;;;;;;;;;
26;;;;;;;;;;;;;s33;;;;;;;;
27;;;;;;;;;;;r26;;;;s35;;;;;;
28;;;r13;;;;;;;;r13;;;;;;;;;;
29;;s25;;;;;;;;s23;;s24;;;;;;;;;
30;;;r16;;;;;r16;;;r16;;;;;;;;;;
31;;s25;;;;;;;;s23;;s24;;;;;;;;;
32;;;;;;;;;;;s38;;;;;;;;;;
33;;s45;;s12;;;;;;;;;;r28;;s43;s44;;;r28;
34;;;;;;;;;;;r23;;;;;;;;;;
35;s46;;;;;;;;;;;;;;;;;;;;
36;;;r15;;;;;s29;;;r15;;;;;;;;;;
37;;;r18;;;;;r18;s31;;r18;;;;;;;;;;
38;;;r19;;;;;r19;r19;;r19;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;s50;
40;;s45;;s12;;;;;;;;;;r28;;s43;s44;;;r28;
41;;r29;;r29;;;;;;;;;;r29;;r29;r29;;;r29;
42;;;s52;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;s53;;;;;;;;;;;
44;;;;;;;;;;s54;;;;;;;;;;;
45;;;s10;s12;;;;;;;;;;;;;;;;;
46;;s55;;;;;;;;;;;;;;;;;;;
47;;;r14;;;;;;;;r14;;;;;;;;;;
48;;;r17;;;;;r17;;;r17;;;;;;;;;;
49;;;;;;;;;;;;;;s56;;;;;;;
50;;s25;;;s18;s19;s20;;;s23;;s24;;;;;;;;;
51;;;;;;;;;;;;;;r27;;;;;;r27;
52;;r30;;r30;;;;;;;;;;r30;;r30;r30;;;r30;
53;;;;;;;s59;;;;;;;;;;;;;;
54;;;;;;;s59;;;;;;;;;;;;;;
55;;;;;;;;;;;r26;;;;s35;;;;;;r22
56;r22;;;;;;;;;;;;;;;;;;;;
57;;;s62;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;s63;;;;;;;;;;
59;;;;;;;;;;;r35;;;;;;;s65;;;
60;;;;;;;;;;;s66;;;;;;;;;;
61;;;;;;;;;;;r25;;;;;;;;;;
62;;;;;;;;;;;;;;r38;;;;;;;
63;;;;;;;;;;;;;s67;;;;;;;;
64;;;;;;;;;;;r33;;;;;;;;;;
65;;;;;;;s59;;;;;;;;;;;;;;
66;;;;;;;;;;;;;s69;;;;;;;;
67;;s45;;s12;;;;;;;;;;r28;;s43;s44;;;r28;
68;;;;;;;;;;;r34;;;;;;;;;;
69;;s45;;s12;;;;;;;;;;r28;;s43;s44;;;r28;
70;;;;;;;;;;;;;;s72;;;;;;;
71;;;;;;;;;;;;;;s73;;;;;;;
72;;r37;;r37;;;;;;;;;;r37;;r37;r37;;s75;r37;
73;;r32;;r32;;;;;;;;;;r32;;r32;r32;;;r32;
74;;r31;;r31;;;;;;;;;;r31;;r31;r31;;;r31;
75;;;;;;;;;;;;;s76;;;;;;;;
76;;s45;;s12;;;;;;;;;;r28;;s43;s44;;;r28;
77;;;;;;;;;;;;;;s78;;;;;;;
78;;r36;;r36;;;;;;;;;;r36;;r36;r36;;;r36;